Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
CACNA1H,-0.017947287208483233,-0.04059245493837433,0.022645167729891096,1.7426120495189856,0.08521487588835126,0.26592202219875155,0.18404383262313959,0.1023010956693568,0.12427039156453318,14354
RDH13,0.0548890620871494,0.032239375719332435,0.022649686367816967,1.5577071395170226,0.12338045835125719,0.3310754255162942,0.18396985985611655,0.11563031928847932,0.12358707765446013,14355
NUTM1,0.0075079057246862976,-0.015143320743696361,0.02265122646838266,1.930695808595786,0.0570025193853601,0.20640391258055168,0.19920533798120965,0.09213468564680233,0.11496988124154123,14356
MEX3B,-0.0705153047030251,-0.09316699926749643,0.02265169456447133,1.3910755066607858,0.1682349886810781,0.3953114378247165,0.17094970948976124,0.1298873006846248,0.13267334571635697,14357
NTNG2,0.09842763152766507,0.0757758106212444,0.022651820906420664,1.7702445925557158,0.08055583871324619,0.2568415588186519,0.19873796437422697,0.10132258042838115,0.11475247813470692,14358
PRLR,0.018190859623107757,-0.004466124205942557,0.022656983829050313,1.7453463566084628,0.08492398115379429,0.2655471743064827,0.21168244465443403,0.10344561038869396,0.1072618595464867,14359
REG3A,0.20471530262023463,0.18204768669995797,0.022667615920276663,1.9630918419424586,0.05329789133852213,0.19843947043003327,0.24773391571451953,0.09227919043795127,0.09144897348854644,14360
TMEM11,-0.20373285853649867,-0.22640123150234667,0.022668372965848005,1.5231820585276958,0.13154287543219884,0.3440337367816157,0.15292797129841132,0.11652048603570685,0.15005800002633782,14361
RTF1,-0.9281911558052641,-0.9508639466821535,0.022672790876889337,0.9945640558309349,0.32307663320334323,0.5713103658746694,0.12129601474663614,0.18173752466762447,0.1872530474543597,14362
KHDC1,0.0009074555181510452,-0.021766066689161943,0.022673522207312988,1.3707589982265302,0.17428793164417644,0.4043440690480456,0.1479988208709698,0.13050175692978405,0.15456048208190998,14363
ZNF638,-0.20481680070162803,-0.2274909337945243,0.022674133092896287,0.8635353774795789,0.3906104592865093,0.6333335876179038,0.11663443891929381,0.2107619162435849,0.1932924477437184,14364
UNC119,-0.3236494783792478,-0.346329616101903,0.022680137722655203,1.3174975456168534,0.1915167592771907,0.4267007992135717,0.15076598040808084,0.13653934011228455,0.1512914524145198,14365
RBM25,-1.297747644133015,-1.3204299421877648,0.02268229805474986,0.5486776821907632,0.584774225162974,0.7852813370324605,0.0611135037659448,0.3271130207951318,0.373832661896903,14366
TMEM86A,0.07389656384803317,0.05121339720768412,0.02268316664034905,1.74076573392424,0.08569729108934836,0.2668528254592999,0.20570234531792397,0.10362814029278945,0.11068973700716743,14367
BCL2L10,0.030629436752493116,0.007942410578022302,0.022687026174470812,1.7154886446140702,0.09023849854846352,0.27494758155862353,0.20009056532962094,0.1050620731097365,0.11390354132148947,14368
ARAP3,0.02144174719915961,-0.0012587762921359067,0.022700523491295515,1.5595501989301737,0.12311369531328281,0.3309176541241904,0.2140478160059173,0.11694689275917479,0.10530661814715477,14369
IL12RB1,-0.10853433405688336,-0.13124402322476456,0.0227096891678812,1.8529551999157599,0.06756643689304274,0.23015799052802915,0.19815749946583688,0.0966044802834063,0.11567708007185146,14370
